Timestamp,Source IP,Destination IP,Protocol,Length
1740062308.9257238,192.168.1.187,172.64.155.209,TCP,54
1740062308.9299853,192.168.1.187,172.64.155.209,TCP,118
1740062308.976321,192.168.1.187,172.64.155.209,TCP,146
1740062308.9812272,192.168.1.187,172.64.155.209,TCP,1454
1740062308.991634,192.168.1.187,172.64.155.209,TCP,1454
1740062308.9972713,192.168.1.187,172.64.155.209,TCP,1454
1740062309.0030055,192.168.1.187,172.64.155.209,TCP,1454
1740062309.0079849,192.168.1.187,172.64.155.209,TCP,1041
1740062309.0161347,192.168.1.187,172.64.155.209,TCP,319
1740062309.0215302,172.64.155.209,192.168.1.187,TCP,582
1740062309.0279765,192.168.1.187,172.64.155.209,TCP,85
1740062309.040303,172.64.155.209,192.168.1.187,TCP,85
1740062309.049585,172.64.155.209,192.168.1.187,TCP,54
1740062309.0547562,172.64.155.209,192.168.1.187,TCP,54
1740062309.060333,172.64.155.209,192.168.1.187,TCP,54
1740062309.0642958,192.168.1.187,172.64.155.209,TCP,54
1740062309.0704916,172.64.155.209,192.168.1.187,TCP,54
1740062309.238219,172.64.155.209,192.168.1.187,TCP,672
1740062309.242385,172.64.155.209,192.168.1.187,TCP,89
1740062309.246075,172.64.155.209,192.168.1.187,TCP,85
1740062309.2506783,172.64.155.209,192.168.1.187,TCP,85
1740062309.2538989,192.168.1.187,172.64.155.209,TCP,66
1740062309.3357024,192.168.1.198,224.0.0.251,UDP,103
1740062310.360247,192.168.1.198,224.0.0.251,UDP,103
1740062310.4908323,192.168.1.187,140.82.112.21,TCP,54
1740062312.586896,192.168.1.187,20.195.84.23,TCP,82
1740062312.71505,20.195.84.23,192.168.1.187,TCP,54
1740062313.7047474,192.168.1.187,20.42.73.26,TCP,172
1740062313.7095668,192.168.1.187,20.42.73.26,TCP,1494
1740062313.7150996,192.168.1.187,20.42.73.26,TCP,684
1740062314.0473588,20.42.73.26,192.168.1.187,TCP,54
1740062314.0523446,20.42.73.26,192.168.1.187,TCP,153
1740062314.057035,192.168.1.187,20.42.73.26,TCP,89
1740062314.3538885,20.42.73.26,192.168.1.187,TCP,54
